,date,TD,TMD,TED,TNAD,RTMD,RTED,RTNAD,TS,TM,TE,TNA,RTM,RTE,RTNA,ratejob
1,13_01,208270,45247,113292,49731,0.217251644,0.543966966,0.23878139,362746,132610,116607,113529,0.365572605,0.321456336,0.31297106,0.574148302
2,13_02,170078,37956,88411,43711,0.223168193,0.519826197,0.257005609,268312,98195,88406,81711,0.365973195,0.329489549,0.304537255,0.633881451
3,13_03,221216,42882,120264,58070,0.193846738,0.543649646,0.262503616,337191,126895,102362,107934,0.376329736,0.303572753,0.320097511,0.65605547
4,13_04,208033,45713,108487,53833,0.219739176,0.521489379,0.258771445,320436,123738,96827,99871,0.386155114,0.302172665,0.311672222,0.649218565
5,13_05,211102,45995,106437,58670,0.217880456,0.504197023,0.277922521,302073,113671,92913,95489,0.376303079,0.30758459,0.31611233,0.698844319
6,13_06,292608,75909,131428,85271,0.259422162,0.449160652,0.291417186,336531,126227,99324,110980,0.37508283,0.295140715,0.329776454,0.869483049
7,13_07,206006,48472,96299,61235,0.235294118,0.467457259,0.297248624,366773,139267,112429,115077,0.379708975,0.30653565,0.313755375,0.561671661
8,13_08,212687,46010,101040,65637,0.216327279,0.475064296,0.308608425,307418,116566,96031,94821,0.379177537,0.312379236,0.308443227,0.691849534
9,13_09,206292,42155,105962,58175,0.204346266,0.513650554,0.28200318,308631,117451,93749,97431,0.380554773,0.303757562,0.315687666,0.668409849
10,13_10,229596,49948,106379,73269,0.217547344,0.463331243,0.319121413,362427,141309,109087,112031,0.389896448,0.300990268,0.309113284,0.633495849
11,13_11,195406,44216,90233,60957,0.226277596,0.461771901,0.311950503,300836,118124,90015,92697,0.392652475,0.299216184,0.308131341,0.649543273
12,13_12,190028,41508,85004,63516,0.218430968,0.447323552,0.33424548,338732,125481,104184,109067,0.3704433,0.307570587,0.321986113,0.560998075
