"","X","date","TD","TMD","TED","TNAD","RTMD","RTED","RTNAD","T","TM","TE","TNA","RTM","RTE","RTNA","Employmentrate","UNEmploymentrate"
"1",1,"14_01",196881,42695,92922,61264,0.216856883091817,0.471970378045621,0.311172738862562,391004,145114,120062,125828,0.371131753127845,0.307060797331997,0.321807449540158,0.503526818139968,0.496473181860032
"2",2,"14_02",211741,48857,99174,63710,0.230739441109658,0.46837409854492,0.300886460345422,335051,125471,107155,102425,0.3744832876189,0.319816983086157,0.305699729294943,0.631966476745331,0.368033523254669
"3",3,"14_03",226510,51419,107348,67743,0.227005430223831,0.47392168116198,0.299072888614189,383324,147590,109996,125738,0.385026765869082,0.286953073640054,0.328020160490864,0.590910039548789,0.409089960451211
"4",4,"14_04",241296,47365,117999,75932,0.1962941781049,0.489021782375174,0.314684039519926,348267,135592,102688,109987,0.389333471158623,0.294854235399851,0.315812293441526,0.692847728897656,0.307152271102344
"5",5,"14_05",198084,43818,92608,61658,0.221209183982553,0.467518830395186,0.311271985622261,320651,123162,98449,99040,0.384099846874016,0.307028513867102,0.308871639258883,0.617755753139706,0.382244246860294
"6",6,"14_06",197054,44390,90168,62496,0.225268200594761,0.457580155693363,0.317151643711876,335532,128140,102383,105009,0.381900981128477,0.30513632082782,0.312962698043704,0.587288246724605,0.412711753275395
"7",7,"14_07",203410,43808,94097,65505,0.215367976009046,0.462597709060518,0.322034314930436,384287,144226,121029,119032,0.375308038002847,0.314944299442864,0.309747662554289,0.529317931650043,0.470682068349957
"8",8,"14_08",202303,38216,98485,65602,0.188904761669377,0.48681927603644,0.324275962294182,306885,117503,97536,91846,0.382889355947668,0.317825895693827,0.299284748358506,0.659214363686723,0.340785636313277
"9",9,"14_09",211677,44548,98848,68281,0.210452718056284,0.46697562796147,0.322571653982247,326251,124958,98451,102842,0.383011852837233,0.301764592292437,0.31522355487033,0.648816402095319,0.351183597904681
"10",10,"14_10",220046,48267,95697,76082,0.21934959054016,0.434895430955346,0.345754978504494,357670,137739,108234,111697,0.385100791232141,0.302608549780524,0.312290658987335,0.615220734196326,0.384779265803674
"11",11,"14_11",189816,41152,83532,65132,0.216799426813335,0.440068276646858,0.343132296539807,327223,126566,101027,99630,0.386788214764855,0.308740522518283,0.304471262716863,0.580081473490555,0.419918526509445
"12",12,"14_12",210922,44345,93103,73474,0.210243597159139,0.441409620618048,0.348346782222812,328226,122747,102236,103243,0.373970983407774,0.311480504286681,0.314548512305546,0.642612102636598,0.357387897363402
