"","date","mt","et","ant","t","m_rt","e_rt","na_rt"
"1","15_01",47796,93522,67641,208959,0.228733866452271,0.447561483353194,0.323704650194536
"2","15_02",34962,75861,63145,173968,0.20096799411386,0.436062954106502,0.362969051779638
"3","15_03",54124,128815,87712,270651,0.199977092270119,0.475945036227466,0.324077871502415
"4","15_04",44855,97985,74025,216865,0.206833744495423,0.451824868005441,0.341341387499135
"5","15_05",39098,88232,65900,193230,0.20233918128655,0.456616467422243,0.341044351291207
"6","15_06",45991,106737,76691,229419,0.20046726731439,0.465249172910701,0.33428355977491
"7","15_07",41036,90780,67252,199068,0.206140615267145,0.456025076858159,0.337834307874696
"8","15_08",54991,94040,73776,222807,0.24681001943386,0.422069324572388,0.331120655993752
"9","15_09",43628,100823,72252,216703,0.20132623913836,0.465258902737849,0.333414858123792
"10","15_10",146272,119528,123624,389424,0.375611159045154,0.306935371214923,0.317453469739924
"11","15_11",52197,105291,88543,246031,0.21215619169942,0.427958265421837,0.359885542878743
"12","15_12",137628,112372,122135,372135,0.369833528155105,0.301965684496218,0.328200787348677
