"","date","S_T","S_TM","S_TE","S_TNA","S_RTM","S_RTE","S_RTNA"
"1","15_01",429964,157769,136527,135668,0.366935371333414,0.317531235173177,0.315533393493409
"2","15_02",313121,115719,98888,98514,0.369566397654581,0.315814014390603,0.314619587954816
"3","15_03",411154,156249,119844,135061,0.380025489232745,0.29148202376725,0.328492487000005
"4","15_04",375832,142677,114670,118485,0.379629728176419,0.305109729879308,0.315260541944273
"5","15_05",319248,120929,99821,98498,0.37879328922969,0.312675412218714,0.308531298551596
"6","15_06",363496,133402,112085,118009,0.366997160904109,0.30835277417083,0.324650064925061
"7","15_07",407396,151144,127645,128607,0.371000206187591,0.313319227483824,0.315680566328584
"8","15_08",321330,120686,102303,98341,0.375582734260729,0.318373634581272,0.306043631158
"9","15_09",348251,133035,104701,110515,0.38200895331241,0.300648095770005,0.317342950917585
"10","15_10",246031,52197,105291,88543,0.21215619169942,0.427958265421837,0.359885542878743
"11","15_11",353672,132703,108841,112128,0.375214888371146,0.307745594788392,0.317039516840462
"12","15_12",226509,45966,97081,83462,0.20293233381455,0.428596656203506,0.368471009981943
